esas_code	scientific_name	english_name	euring_code	euring_scientific_name	aphia_id	aphia_scientific_name	remarks
8000	Apus affinis	Little Swift	08000	Apus affinis	196041	Apodiformes	
8009	Apus sp.	unidentified (Apus) swift	08009	Apus sp.	196041	Apodiformes	
8060	Hylocharis leucotis	White-eared Hummingbird	08060	Hylocharis leucotis	1534806	Hylocharis leucotis	unaccepted taxon in WoRMS
8460	Upupa epops	Eurasian Hoopoe	08460	Upupa epops	1451644	Upupa epops	
8480	Jynx torquilla	Eurasian Wryneck	08480	Jynx torquilla	1534814	Jynx torquilla	
8760	Dendrocopos major	Great Spotted Woodpecker	08760	Dendrocopos major	1459903	Dendrocopos major	
9720	Galerida cristata	Crested Lark	09720	Galerida cristata	426235	Galerida cristata	
9740	Lullula arborea	Woodlark	09740	Lullula arborea	1534829	Lullula arborea	
9760	Alauda arvensis	Eurasian skylark	09760	Alauda arvensis	558531	Alauda arvensis	
9780	Eremophila alpestris	Horned Lark	09780	Eremophila alpestris	232056	Eremophila alpestris	
9789	Alaudidae	unidentified lark			196040	Alaudidae	
9810	Riparia riparia	Sand Martin	09810	Riparia riparia	225984	Riparia riparia	
9910	Ptyonoprogne rupestris	Eurasian Crag Martin	09910	Ptyonoprogne rupestris	1534870	Ptyonoprogne rupestris	
9920	Hirundo rustica	Barn Swallow	09920	Hirundo rustica	212750	Hirundo rustica	
9950	Cecropis daurica	Red-rumped Swallow	09950	Cecropis daurica	567869	Cecropis daurica	
9995	Hirundinidae	unidentified swallow			196063	Hirundinidae	
10010	Delichon urbicum	Common House Martin	10010	Delichon urbica	212752	Delichon urbicum	
10090	Anthus trivialis	Tree Pipit	10090	Anthus trivialis	558533	Anthus trivialis	
10100	Anthus gustavi	Pechora Pipit	10100	Anthus gustavi	1534753	Anthus gustavi	
10110	Anthus pratensis	Meadow Pipit	10110	Anthus pratensis	426233	Anthus pratensis	
10140	Anthus petrosus / spinoletta	Rock Pipit / Water Pipit	10140	Anthus spinoletta	206833	Anthus	EURING 10140 not yet split in A. spinoletta / petrosus
10142	Anthus petrosus petrosus	Rock Pipit (petrosus)	10142	Anthus spinoletta petrosus	232064	Anthus petrosus petrosus	
10159	Anthus sp.	unidentified pipit	10159	Anthus sp.	206833	Anthus	10119 (v5)
10170	Motacilla flava	Western Yellow Wagtail	10170	Motacilla flava	212754	Motacilla flava	
